,precision,recall,f1-score
Negative,0.4158878504672897,0.6194895591647331,0.4976700838769804
Neutral,0.6014851485148515,0.54,0.5690866510538641
Positive,0.742152466367713,0.6263008514664143,0.6793227296049256
