,precision,recall,f1-score
Negative,0.7322033898305085,0.5011600928074246,0.5950413223140496
Neutral,0.7559241706161137,0.7088888888888889,0.731651376146789
Positive,0.7616707616707616,0.879848628192999,0.8165057067603161
