,precision,recall,f1-score
Negative,0.5901287553648069,0.6380510440835266,0.6131549609810478
Neutral,0.7905405405405406,0.78,0.7852348993288591
Positive,0.8433852140077821,0.8202459791863765,0.8316546762589929
