,precision,recall,f1-score,support
Negative,0.7986270022883295,0.8097447795823666,0.804147465437788,431.0
Neutral,0.9563218390804598,0.9244444444444444,0.9401129943502825,450.0
Positive,0.9146341463414634,0.9224219489120151,0.9185115402731983,1057.0
